Ticker,Name,Sector,Price,Dividend Yield,1-Year Dividend Growth,5-Year Dividend Growth (Annualized),Dividends Per Share (TTM),Market Cap ($M),Trailing P/E Ratio,Payout Ratio,Beta,52-Week High,52-Week Low
PDD,PDD Holdings Inc,Consumer Cyclical,$113.49,0.0%,N/A,N/A,$0.00,"$157,896.05",24,0.0%,1.5,$152.99,59.67
PEP,PepsiCo Inc,Consumer Defensive,$174.13,3.1%,10.0%,5.8%,$4.95,"$239,343.27",26,75.4%,0.3,$187.02,151.16
PTON,Peloton Interactive Inc,Consumer Cyclical,$3.03,0.0%,N/A,N/A,$0.00,"$1,057.04",N/A,0.0%,2.5,$9.87,2.97
PYPL,PayPal Holdings Inc,Financial Services,$62.31,0.0%,N/A,N/A,$0.00,"$65,590.21",15,0.0%,1.7,$76.54,50.25
QCOM,"Qualcomm, Inc.",Technology,$157.63,2.2%,6.7%,5.2%,$3.14,"$175,915.08",23,45.6%,1.5,$177.59,96.45
REGN,"Regeneron Pharmaceuticals, Inc.",Healthcare,$896.82,0.0%,N/A,N/A,$0.00,"$96,806.11",24,0.0%,0.5,$998.33,684.81
ROST,"Ross Stores, Inc.",Consumer Cyclical,$133.34,1.1%,N/A,N/A,$1.36,"$44,895.58",24,24.5%,0.9,$150.37,97.72
SBUX,Starbucks Corp.,Consumer Cyclical,$87.61,2.6%,7.5%,6.8%,$2.16,"$99,192.04",23,57.9%,0.9,$111.11,84.29
SGEN,Seagen Inc,Healthcare,$228.74,0.0%,N/A,N/A,$0.00,$0.00,0,0.0%,,NaN,NaN
SIRI,Sirius XM Holdings Inc,Communication Services,$3.09,3.3%,9.9%,14.9%,$0.10,"$11,885.65",9,31.0%,1.2,$7.75,3.04
SNPS,"Synopsys, Inc.",Technology,$510.71,0.0%,N/A,N/A,$0.00,"$77,883.28",55,0.0%,1.5,$629.38,360.37
SPLK,Splunk Inc,Technology,$156.90,0.0%,N/A,N/A,$0.00,$0.00,0,0.0%,,NaN,NaN
SWKS,"Skyworks Solutions, Inc.",Technology,$96.11,2.8%,9.7%,12.3%,$2.61,"$15,399.31",17,46.2%,1.6,$113.64,82.76
TEAM,Atlassian Corporation,Technology,$191.55,0.0%,N/A,N/A,$0.00,"$49,229.74",N/A,0.0%,1.6,$258.69,128.02
TMUS,T-Mobile US Inc,Communication Services,$162.33,0.4%,N/A,N/A,$0.65,"$192,664.21",23,9.4%,0.3,$168.64,122.86
TSLA,Tesla Inc,Consumer Cyclical,$147.05,0.0%,N/A,N/A,$0.00,"$460,776.77",31,0.0%,2.0,$299.29,146.22
TTWO,"Take-Two Interactive Software, Inc.",Communication Services,$140.60,0.0%,N/A,N/A,$0.00,"$23,984.45",N/A,0.0%,1.1,$171.59,119.57
TXN,Texas Instruments Inc.,Technology,$159.68,3.3%,4.8%,11.0%,$4.96,"$145,317.70",22,70.2%,1.3,$179.31,135.45
VRSK,Verisk Analytics Inc,Industrials,$222.52,0.7%,14.7%,9.3%,$1.40,"$31,762.90",52,33.7%,0.5,$251.15,185.63
VRSN,Verisign Inc.,Technology,$184.12,0.0%,N/A,N/A,$0.00,"$18,437.50",23,0.0%,0.7,$229.72,181.57
VRTX,"Vertex Pharmaceuticals, Inc.",Healthcare,$394.28,0.0%,N/A,N/A,$0.00,"$101,905.35",28,0.0%,0.7,$448.40,316.43
WBA,Walgreens Boots Alliance Inc,Healthcare,$18.24,5.5%,-47.9%,-10.7%,$1.62,"$15,735.89",N/A,N/A,0.8,$32.45,17.51
WDAY,Workday Inc,Technology,$252.22,0.0%,N/A,N/A,$0.00,"$53,218.42",39,0.0%,1.2,$311.28,174.25
XEL,"Xcel Energy, Inc.",Utilities,$54.72,4.0%,5.3%,6.2%,$2.05,"$30,395.33",17,64.0%,0.3,$66.92,45.8
XLNX,"Xilinx, Inc.",Technology,$194.92,0.0%,N/A,N/A,$0.74,$0.00,0,19.9%,,NaN,NaN
ZM,Zoom Video Communications Inc,Communication Services,$59.45,0.0%,N/A,N/A,$0.00,"$17,689.03",24,0.0%,1.4,$75.91,58.87
ZS,Zscaler Inc,Technology,$169.21,0.0%,N/A,N/A,$0.00,"$25,364.58",N/A,0.0%,1.9,$259.61,84.93
